,NL111,NL112,NL113,NL124_1,NL126,NL131_2,NL211_1,NL213,NL221_2,NL225,NL230,NL310,NL321_2,NL323_3,NL332_3,NL333,NL33A,NL341_1,NL411_1,NL413,NL414,NL421_2
2019-02-20 18:00:00,206.31642343033278,234.09500028690033,434.7398345858284,535.0434193479664,282.0054465888248,755.645139511501,673.5211858848905,458.94767212135514,1345.0791390050026,349.7201177064803,360.9164295683324,834.3660941971312,1757.6006285827223,1107.5880556351374,2148.4044332114545,399.1308752022432,410.3613643697216,592.6985262027382,927.9502655906348,516.6966407621755,609.5221141161446,1139.65119409248
2019-02-20 19:00:00,197.19385023014829,223.74415792346835,415.51719637746254,511.3857159178418,269.5361759094309,722.2332182308619,643.7404916582639,438.65465005181017,1285.6045576721324,334.2567468302796,344.9579978877923,797.473414285803,1679.8858246696432,1058.614479294554,2053.4096849519183,381.48273762333804,392.2166547884485,566.4915204732514,886.9196288471683,493.85016616131077,582.5712295927256,1089.259900622346
2019-02-20 20:00:00,186.15951415116285,211.22415168921873,392.26618532374283,482.77020965918194,254.45379505953105,681.8193612669384,607.7188361942709,414.10894121944915,1213.666245511417,315.55281018677385,325.65525352033177,752.8493570090908,1585.8847960265373,999.3778046772519,1938.5074578025497,360.1361858401335,370.2694673905654,534.792469942508,837.2904479760274,466.2158930857218,549.9724100566631,1028.3084064109325
2019-02-20 21:00:00,172.82849649294667,196.09823718063106,364.1757196437257,448.19868523738234,236.2321744745939,632.9937829116865,564.1996501162608,384.45429996732923,1126.7547265172504,292.9558448697942,302.33484491824856,698.937269206179,1472.318437003064,927.8116361570461,1799.6895345372075,334.3465726974015,343.75420261568104,496.49559377804,777.3314724817071,432.82983526532996,510.5884873846062,954.6704965438872
2019-02-20 22:00:00,161.80699103730888,183.59278909316544,340.9517446493708,419.6164528232093,221.16733127684512,592.6269188046978,528.2198802981563,359.9371326568663,1054.900063556722,274.2736569898274,283.0545456023781,654.3651003681607,1378.4267118816365,868.6438413939502,1684.92091462871,313.02484248603787,321.8325352031443,464.83340260837883,727.7599999604164,405.2276950654103,478.0275734526555,893.7898761629519
2019-02-20 23:00:00,154.81430131283557,175.65859909587937,326.2170922955602,401.4822075778958,211.60931085452492,567.0158117752347,505.3922032889982,344.38200322240505,1009.3112494548736,262.4205808610941,270.8219924857898,626.0859012800117,1318.8562925671104,831.1043208515903,1612.1049683538197,299.4970858327281,307.9241431893696,444.7450508185473,696.3089492920773,387.71527782564755,457.3690192117788,855.1636385522306
2019-02-21 00:00:00,149.33562514338578,169.44227041910653,314.6726949467946,387.2742759820262,204.1207333860281,546.9498618640772,487.5070324946667,332.1947733719187,973.5930409750763,253.133858829958,261.23795545682964,603.929537957737,1272.183688810591,801.6926231055576,1555.0546765017489,288.89827465664854,297.0271094464671,429.00610363642227,671.6674839060571,373.9945399148608,441.1833262560825,824.9005129379586
2019-02-21 01:00:00,145.97400182629954,165.62803596169562,307.5892473932196,378.556528726481,199.525868522454,534.637733347161,476.5329932719155,324.7168946346181,951.6769505261143,247.43568278275046,255.3573519402312,590.3347670199481,1243.5461661309475,783.6461013035423,1520.049579393453,282.39502283432347,290.34087328571667,419.3489510328703,656.5478962453143,365.575726489507,431.25205797881705,806.3315693526212
2019-02-21 02:00:00,145.69172811265105,165.30775673244733,306.99445408719413,377.82450414777105,199.14004017513093,533.6038904945955,475.6115090623714,324.08898115285996,949.8366681220028,246.95720998489332,254.86356080524962,589.1932213686832,1241.1414886540306,782.1307445110066,1517.110220094283,281.84894825382287,289.7794336080964,418.53804508906046,655.2783125486105,364.8688032247826,430.4181346883596,804.7723450820964
2019-02-21 03:00:00,146.7951617205496,166.5597573558723,309.3195551925661,380.68605477363707,200.64827826012092,537.6452761909878,479.21367460877065,326.54355203609606,957.0304993380744,248.82760364924388,256.7938352419957,593.6556270963545,1250.5415915183412,788.0544119727368,1528.6004428092199,283.9836034321433,291.9741523478847,421.7079501421348,660.2412306357246,367.6322305323415,433.6780166419658,810.8674945032378
2019-02-21 04:00:00,152.7998934472533,173.37297005078958,321.97243097528803,396.258213993466,208.85589946681063,559.6379332364718,498.816156884525,339.9009842844042,996.1783250255336,259.0060249854773,267.2981193861487,617.939416405077,1301.6956396636594,820.2901837412222,1591.128631537016,295.6000990537012,303.91750548998857,438.9581311286325,687.2487383656014,382.67041634556904,451.4178393662417,844.0364471671236
2019-02-21 05:00:00,171.12202358770824,194.16200365835758,360.57992374820856,443.7732639206361,233.89966673850475,626.7437329393588,558.6288592131085,380.6582775548827,1115.6293828923956,290.0632593191125,299.3496530567692,692.0361068598968,1457.7810686198861,918.6506155476261,1781.9197715013167,331.0453036425571,340.3600445646131,491.59329875409946,769.6562619516353,428.55616280131443,505.54704203775003,945.2442770902616
2019-02-21 06:00:00,194.49941932714023,220.686947098826,409.8396239108566,504.3982085756109,265.8532689577111,712.364718274555,634.9445060217074,432.66093045321037,1268.0382256328878,329.689506487098,340.24453705387754,786.5768421600942,1656.9320851172567,1044.1497099112594,2025.352164368933,376.27020753674157,386.85745786570965,558.7510546459769,874.8008753786339,487.10226227076,574.6110527292684,1074.3763962218845
2019-02-21 07:00:00,206.48322153385237,234.28425619509252,435.0913033575708,535.4759793262951,282.23343606678844,756.2560466516535,674.0656992814394,459.3187119060305,1346.1665786074325,350.0028516324869,361.2082152390033,835.0406439001515,1759.0215743645372,1108.4834937398177,2150.141327342783,399.45355563617545,410.69312417922464,593.1776978968077,928.7004741386871,517.1143681458765,610.0148869695968,1140.5725538886993
2019-02-21 08:00:00,209.54974051394245,237.76365327647113,441.55292154575557,543.4284281586434,286.42493493088847,767.4873394590693,684.0763686487581,466.1401356396749,1366.158737452096,355.2008061182983,366.5725825690301,847.4419807479818,1785.1451160455858,1124.945778895091,2182.073457911037,405.3859113061589,416.79240067700835,601.9870851954677,942.492769752876,524.7941254308365,619.074326352293,1157.5113993730338
2019-02-21 09:00:00,206.94512397436802,234.8083494793169,436.0646014947032,536.6738377278203,282.8647915442261,757.947789501306,675.5735825334203,460.3462066943618,1349.1779498141598,350.7858071198894,362.01623709624585,836.9086276931301,1762.956501144946,1110.9631684912397,2154.9511880141517,400.3471322224491,411.6118436516941,594.504634895769,930.7779747332929,518.2711516699708,611.379488717618,1143.124011785921
2019-02-21 10:00:00,204.19937057796932,231.6929060675385,430.2788847906381,529.5532350076422,279.1117339839022,747.89131811726,666.6100543133106,454.23832100816963,1331.277020974168,346.13157172255194,357.2129960559708,825.8045018126459,1739.5655475058477,1096.2228796911204,2126.359238467681,395.0353158484889,406.1505667875697,586.6167316241654,918.4283878653578,511.3947162767429,603.267689437714,1127.957012063546
2019-02-21 11:00:00,200.2090467168478,227.165322417711,421.8706703281882,519.2050693722431,273.6575241649267,733.2765396105386,653.5836184420293,445.3619076978623,1305.2621197160486,339.36770626193527,350.23258501145887,809.6671973788581,1705.5721522639801,1074.8012450330027,2084.807386556688,387.3158070059579,398.21385134484683,575.1534703275825,900.4810910619568,501.4013919435938,591.4790465589751,1105.9152507847673
2019-02-21 12:00:00,201.53060092165654,228.66481153646416,424.65538444276166,522.6322753543849,275.4639023364845,738.1168038748226,657.8978399685309,448.3016844533661,1313.8779873352973,341.6078289064482,352.54442532523615,815.0117065643249,1716.8304149968174,1081.895870016238,2098.568932366438,389.8724289055743,400.84240983552354,578.9499845190553,906.4250510965237,504.71107813753065,595.3833237824804,1113.2152553240414
2019-02-21 13:00:00,203.08310634672313,230.42634729732956,427.9267476259014,526.6584105372895,277.58595824676115,743.8029395639329,662.9660031210229,451.7552086030355,1323.9995405579098,344.23942929466244,355.26027656763466,821.2902076462809,1730.0561411198591,1090.230332375184,2114.7354085118727,392.8758390983275,403.9303280624351,583.4099672100089,913.4077614283937,508.59915609351475,599.9699018799962,1121.7909888119266
2019-02-21 14:00:00,206.80398711754378,234.64820986469277,435.7672048416905,536.3078254384654,282.6718773705646,757.4308680750233,675.1128404286484,460.0322499534828,1348.257808612104,350.54657072096086,361.7693415287551,836.3378548674978,1761.7541624064877,1110.2054900949718,2153.4815083645667,400.07409493219876,411.33112381288396,594.0991819238641,930.1431828849411,517.9176900376086,610.9625270723892,1142.344399650659
2019-02-21 15:00:00,210.4607147716262,238.79728169813598,443.4724817606558,545.7908711172074,287.6701082336128,770.8238323014399,687.0502495068322,468.1665836944397,1372.0978306653647,356.7449683295646,368.1661812319252,851.1260598952455,1792.9056660847264,1129.836248543729,2191.559572012904,407.14824290686545,418.6043196366011,604.6040998323082,946.5900625922378,527.0755596033562,621.765624244224,1162.5434413369996
2019-02-21 16:00:00,214.8359573331774,243.7616097514838,452.6917780040493,557.1372520872109,293.6504476171196,786.848396516205,701.3332547547642,477.8992426616898,1400.62220792909,364.16129669635,375.81994382413916,868.8200174898489,1830.1781669769346,1153.3242788280313,2237.1196411500378,415.61239890462446,427.3066346397152,617.1731419613589,966.2686098911437,538.0328702065839,634.6914352463139,1186.71141753013
2019-02-21 17:00:00,214.13027304905623,242.9609116783632,451.2047947389858,555.3071906404361,292.68587674881206,784.2637893847913,699.0295442309042,476.3294589572946,1396.0215019188117,362.9651147017072,374.5854659866853,865.966153361687,1824.166473284643,1149.5358868466924,2229.7712429021126,414.247212453373,425.90303544566456,615.1458771018346,963.0946506493847,536.265562044773,632.6066270201703,1182.8133568538185
2019-02-21 18:00:00,209.6652161240714,237.89467659752728,441.7962460800387,543.7278927590248,286.5827738002479,767.9102751714826,684.4533394617536,466.3970093367578,1366.911580253778,355.396544990149,366.77458803334076,847.9089766962267,1786.1288477406883,1125.5656975829468,2183.2759230788797,405.60930545272737,417.02208054512573,602.3188194452081,943.0121449015276,525.0833213118602,619.4154767892985,1158.1492638473394
2019-02-21 19:00:00,200.5426429238869,227.54383423409527,422.5736078716728,520.0701893289003,274.1135031208539,734.4983538908433,654.6726452351268,446.10398726721274,1307.4369989209074,339.93317411394827,350.81615635280065,811.0162967848981,1708.4140438276088,1076.5921212423632,2088.281174819343,387.9611678738222,398.87737096385257,576.1118137157213,901.981508158061,502.2368467109953,592.4645922658793,1107.7579703772053
2019-02-21 20:00:00,187.66069708283874,212.927454862948,395.4294042694233,486.6632494641391,256.5057003612034,687.3175255283093,612.6194567632094,417.44829928152615,1223.4532019332817,318.09741552083216,328.28132455636995,758.9203043362712,1598.6733080628667,1007.4367476193731,1954.1395049844984,363.0403097455229,373.2553056760913,539.1050151891324,844.0423249084964,469.97543953902857,554.407365737732,1036.6006445769037
2019-02-21 21:00:00,174.2142038144937,197.67051703330426,367.095614055123,451.7922604419582,238.1262409069069,638.0690114606443,568.7232998722042,387.5367843323234,1135.7888401374332,295.3047113320019,304.7589104899762,704.541220585115,1484.1232173442913,935.250660411312,1814.1191165513142,337.0273024562225,346.51036103308957,500.4764047749241,783.5639742655248,436.3001858376132,514.6822926286699,962.3248702355531
2019-02-21 22:00:00,162.80777965842614,184.7283245423183,343.0605572798244,422.21181269318066,222.5352681446267,596.2923616456117,531.4869606774487,362.1633713649176,1061.4247011712985,275.9700605458662,284.80525962640354,658.412398586281,1386.9523865725225,874.016470022031,1695.3422794166759,314.9609250896308,323.82309406016157,467.70843277279505,732.2612512487291,407.7340593676148,480.98421057336805,899.318034940266
2019-02-21 23:00:00,153.69803708158935,174.39204032567037,323.8649551308233,398.58738310754296,210.08353511738386,562.9274332219074,501.7481520967105,341.8988908172708,1002.033769038615,260.52843843320454,268.8692729974536,621.5716071136466,1309.3468861811216,825.1117735356538,1600.4811383980111,297.33760908256664,305.7039044642348,441.53828640439065,691.2883228551129,384.9197176424193,454.07123165406074,848.9976153006107
2019-02-22 00:00:00,149.0918432997803,169.1656656302103,314.1590098188636,386.64207293677674,203.78751799515823,546.0569975823161,486.7112052227878,331.6524844558549,972.0037061715256,252.72063232271776,260.8114994766183,602.9436576225538,1270.1069218987086,800.3839058756404,1552.516138925193,288.42666479167076,296.54222972488594,428.30577577585933,670.571025258904,373.38401527714433,440.46311977796023,823.5539101588693
2019-02-22 01:00:00,146.7310086038113,166.48696662195226,309.18437489574217,380.519685551203,200.5605899993657,537.4103119063138,479.00424637932883,326.4008444266056,956.61225333714,248.71885983154908,256.68160998404534,593.3961849028852,1249.995073909951,787.710012701706,1527.932406604863,283.8594955729386,291.8465524211528,421.5236533367235,659.9526888864739,367.471566153995,433.4884886214073,810.5131253508458
2019-02-22 02:00:00,146.2819367866433,165.9774314845119,308.2381128179745,379.35510099416456,199.94677217407911,535.7655619135961,477.5382487732362,325.40189116017234,953.6845313305994,247.95765310768553,255.8960331783929,591.5800895486005,1246.1694506512204,785.2992178044904,1523.2561531743656,282.99074055850593,290.9533529340297,420.2335756988445,657.9328966417182,366.34691550556994,432.16179247749784,808.0325412841024
2019-02-22 03:00:00,147.4880153813231,167.3458972822089,310.7795023982648,382.48284237592503,201.59531147627743,540.1828904654667,481.4754994867423,328.0847942185931,961.5475561481659,250.00203688034773,258.0058680278595,596.4576027858225,1256.4439816889549,791.7739240998698,1535.8152338162731,285.3239683115538,293.35223155658895,423.69835564057684,663.3574815276335,369.3674058184831,435.72491926399766,814.6946813490707
2019-02-22 04:00:00,153.09499778424944,173.70780742682183,322.5942603406782,397.0235124166627,209.2592654662847,560.7187689459721,499.77952673995736,340.5574392880604,998.1022566298318,259.5062465468734,267.8143555727203,619.1328504950355,1304.209620662254,821.874420387964,1594.2015980770573,296.1709952060427,304.50446515295516,439.8058964335244,688.5760304121552,383.4094724859627,452.28966826081086,845.6665452681265
2019-02-22 05:00:00,171.08353171766527,194.11832921800553,360.4988155701142,443.67344238717567,233.8470537820516,626.6027543685544,558.5032022754434,380.57265298918844,1115.3784352918349,289.99801302849556,299.28231790199897,691.8804415438152,1457.453158054852,918.4439759850077,1781.5189497787026,330.97083892703426,340.28348460857393,491.4827206708527,769.4831369020849,428.45976417430654,505.43332522541493,945.0316555988264
2019-02-22 06:00:00,193.8065656663667,219.9008071724894,408.37967670515786,502.60142097332294,264.9062357415546,709.8271040000761,632.6826811437357,431.1196882707133,1263.5211688227964,328.51507325599414,339.0325042680137,783.7748664706262,1651.029694946643,1040.4301977841264,2018.1373733618796,374.92984265733105,385.4793786570053,556.7606491475349,871.684624486725,485.3670869846183,572.5641501072366,1070.5492093760517
2019-02-22 07:00:00,207.3685345448407,235.28876832318926,436.9567914537413,537.7718745958852,283.4435340652106,759.4985537801542,676.9558088477364,461.28807691699893,1351.9383734203268,351.50351631667513,362.75692379871816,838.6209461700272,1766.563517360321,1113.236203680043,2159.3602269629064,401.16624409319996,412.4540031681245,595.7209938114836,932.6823502783483,519.3315365670574,612.6303736533041,1145.462848191708
2019-02-22 08:00:00,212.11586518347397,240.67528263327338,446.9601334187136,550.0831970560063,289.9324653610977,776.8859108460283,692.453497826431,471.8484400192937,1382.8885774894716,359.55055882609037,371.0615928870442,857.8196684867521,1807.0058203811918,1138.721749736324,2208.794906085309,410.350225674346,421.89639774628347,609.3589574119196,954.0344397229088,531.2207005646944,626.6554471746332,1171.6861654687114
2019-02-22 09:00:00,210.6660047451887,239.03021204668016,443.9050587104924,546.3232526289964,287.95071066802956,771.5757180123966,687.720419841046,468.6232480448092,1373.4362178683548,357.0929485461879,368.5253020573663,851.9562749143471,1794.6545224315748,1130.9383262110277,2193.6972878668457,407.5453880563204,419.0126394021431,605.1938496096244,947.5133961898405,527.5896856140648,622.3721139100112,1163.6774226246537
2019-02-22 10:00:00,206.90663210432504,234.76467503896487,435.9834933166088,536.57401619436,282.81217858777296,757.8068109305017,675.4479255957554,460.2605821286675,1348.9270022135993,350.72056082927253,361.94890194147564,836.7529623770486,1762.6285905799118,1110.756528928621,2154.5503662915376,400.27266750692627,411.535283695655,594.3940568125222,930.6048496837424,518.174753042963,611.2657719052828,1142.911390294486
2019-02-22 11:00:00,200.7222716507541,227.74764828907144,422.95211270277986,520.5360231517155,274.3590302509686,735.1562538879305,655.2590442775638,446.5035685737861,1308.6080877235238,340.2376568034937,351.13038707506166,811.7427349266121,1709.9442931311014,1077.5564392012493,2090.1516761915423,388.3086698795953,399.23465075870183,576.6278447708729,902.7894250559633,502.6867069703654,592.9952707234431,1108.7502040039028
2019-02-22 12:00:00,200.47848980714863,227.47104350017526,422.4384275748489,519.9038201064662,274.02581486009876,734.2633896061694,654.463217005685,445.96127965772234,1307.0187529199732,339.82443029625347,350.70393109485036,810.756854591429,1707.867526219219,1076.2477219713323,2087.6131386149864,387.8370600146176,398.74977103712075,575.92751691031,901.6929664088103,502.0761823326489,592.2750642453209,1107.4036012248137
2019-02-22 13:00:00,201.13285159787918,228.2135089861598,423.8172666024532,521.6007861752937,274.9202351198021,736.660025309844,656.5993849459916,447.4168972745251,1311.284862129504,340.9336172367405,351.84862872594397,813.4031649648155,1713.4420058247983,1079.7605945358468,2094.4271078994257,389.10296017850527,400.0512902897859,577.8073443255053,904.6360922511686,503.7149589917827,594.2082500550176,1111.0181665792113
2019-02-22 14:00:00,201.0302066110979,228.09704381188772,423.6009781275348,521.3345954193991,274.7799339025937,736.2840824543656,656.2642997788846,447.18856509934034,1310.6156685280089,340.75962712842875,351.66906831322336,812.9880574552645,1712.567577651374,1079.2095557021973,2093.358249972455,388.90438760377776,399.84713040701484,577.5124694368471,904.1744254523672,503.4578959864283,593.9050052221239,1110.451175935384
2019-02-22 15:00:00,202.77517138637933,230.07695177451325,427.2778822011463,525.8598382696059,277.16505459513604,742.6751109974978,661.9607476197021,451.0702120774812,1321.9919597534245,343.7174589697274,354.72159532947296,820.0448851176284,1727.4328565995863,1088.577215874236,2111.5288347309597,392.28012137414504,403.317848414122,582.5253425440345,912.0227610319896,507.8279670774517,599.0601673813153,1120.090016880445
2019-02-22 16:00:00,207.38136516818838,235.30332646997329,436.98382751310606,537.805148440372,283.4610717173617,759.545546637089,676.9976944936247,461.316618438897,1352.0220226205138,351.52526508021407,362.77936885030823,838.672834608721,1766.672820881999,1113.3050835342492,2159.4938342037776,401.19106566504087,412.4795231534709,595.7578531725658,932.7400586281984,519.3636694427266,612.6682792574157,1145.5337220221863
2019-02-22 17:00:00,207.04776896114925,234.92481465358895,436.28088996962146,536.9400284837147,283.0050927614344,758.3237323567843,675.9086677005272,460.57453886954653,1349.8471434156547,350.95979722820107,362.19579750896634,837.3237352026808,1763.83092931837,1111.5142073248887,2156.020045941122,400.5457047971765,411.81600353446504,594.799509784427,931.2396415320941,518.5282146753251,611.6827335505114,1143.691002429748
2019-02-22 18:00:00,201.74872151856675,228.9123000317924,425.1149974519632,523.1979307106608,275.7620424230524,738.9156824427142,658.6098959486332,448.7868903256337,1315.3000237384742,341.9775578866106,352.92599120226737,815.8938100221204,1718.688574865344,1083.066827537743,2100.840255461251,390.29439562687026,401.276249586412,579.5765936574538,907.4060930439766,505.25733702390863,596.0277190523793,1114.420110442174
2019-02-22 19:00:00,192.1642458778666,218.03736438413603,404.9190611064648,498.3423688790109,262.6614162662208,703.8120183124225,627.3213184700254,427.46637346775736,1252.8140711988763,325.7312315230073,336.1595376644848,777.1331463178134,1637.0388441718558,1031.6135764457374,2001.0356465303462,371.7526814616914,382.21282053266935,552.0426509290057,864.2979557059043,481.2540788989494,567.7122327809391,1061.4773590748182
2019-02-22 20:00:00,179.51325125707623,203.6830316551009,378.26150657278146,465.53435821501233,245.36929124528902,657.4770613747146,586.0220716240984,399.3244328762363,1170.335959814614,304.28695067359246,314.02871679667527,725.9711457656756,1529.2655717973178,963.6980401984582,1869.2989070311855,347.27861162652886,357.05011498114277,515.6993209018974,807.3975227536424,449.57106348902977,530.3373071268021,991.5957622231273
2019-02-22 21:00:00,168.13248834770405,190.76995545768298,354.2805219162125,436.02045815520853,229.81339378731099,615.7943972735517,548.8695037211198,374.0081029526268,1096.1391192488531,284.99579741453476,294.1199560362828,679.9461006442295,1432.3133480689053,902.6016095175897,1750.7892843782904,325.26187740361917,334.41388797890755,483.005067621933,756.2102164365473,421.06920277037005,496.7150362797239,928.7306745887973
2019-02-22 22:00:00,159.04840701756254,180.46278753460305,335.1389918859409,412.46257625854435,217.3967360643702,582.523454563717,519.2144664321582,353.8007054487761,1036.9154855165434,269.597672828951,278.228859510513,643.2090860489827,1354.9264547208602,853.8346727396248,1656.1953578413681,307.6882045402368,316.34573835367354,456.90863997569306,715.3527047426313,398.31912679651305,469.87786856863994,878.5520026100986
2019-02-22 23:00:00,151.46550861909694,171.85892278525242,319.1606808013498,392.79773416683736,207.0319836431018,554.7506761152532,494.4600497121352,336.9326660070024,987.4788082060982,256.74415357742544,264.96383402078135,612.5430187809164,1290.3280734091443,813.1266789037811,1577.2334784863947,293.01865558224387,301.2634270139655,435.12475757607746,681.2470699811844,379.3285972759629,447.4756565386249,836.6655687973712
2019-02-23 00:00:00,146.15363055316672,165.83185001667175,307.9677522243266,379.02236254929636,199.7713956525686,535.295633344248,477.11939231435247,325.11647594119137,952.8480393287305,247.74016547229587,255.67158266249217,591.0612051616619,1245.0764154344397,784.6104192624285,1521.9200807656518,282.74252484009656,290.6981530805659,419.8649820880218,657.3558131432164,366.025586748877,431.7827364363808,807.3238029793184
2019-02-23 01:00:00,143.3308934166821,162.6290577241893,302.01981916407277,371.7021167621974,195.91311217933844,524.9572048185933,467.9045502189125,318.83734112361066,934.4452152876174,242.95543749372467,250.7336713126767,579.6457486490146,1221.0296406652733,769.4568513370723,1492.526487773953,277.2817790350908,285.0837563043633,411.75592264992474,644.6599761761805,358.9563541016334,423.44350353180675,791.7315602740732
2019-02-23 02:00:00,142.24029043213116,161.39161524754832,299.7217541180655,368.8738399808181,194.42241174649945,520.9628119791355,464.34427031840147,316.41131176227253,927.3350332717325,241.10679259291297,248.82584192752066,575.2352313600371,1211.7388413226404,763.602063729548,1481.1698722998872,275.17194542861114,282.91455754992126,408.62287695793253,639.7547664389164,356.22505966974364,420.22152718231206,785.70728468341
2019-02-23 03:00:00,142.20179856208821,161.3479408071963,299.6406459399712,368.7740184473577,194.36979879004636,520.8218334083313,464.21861338073643,316.3256871965783,927.084085671172,241.04154630229613,248.75850677275048,575.0795660439557,1211.4109307576066,763.3954241669296,1480.7690505772732,275.09748071308843,282.83799759388216,408.5122988746858,639.581641389366,356.12866104273587,420.107810369977,785.494663191975
2019-02-23 04:00:00,144.21620642767044,163.63356985228606,303.8853072602433,373.9980120317875,197.12321017776063,528.199711947094,470.79465978520955,320.80670613457914,940.2170101005119,244.4561021779129,252.28237987239154,583.2260509188903,1228.5715836610573,774.2095612772976,1501.7453873940767,278.9944674921153,286.84463529326314,414.2992185646006,648.6418523158418,361.1735225228143,426.05899021551403,796.6218545770819
2019-02-23 05:00:00,151.81193544948368,172.2519927484207,319.8906544041991,393.6961279679813,207.50550025118002,556.0194832524926,495.5909621511209,337.7032870982509,989.7373366111437,257.3313701929773,265.5698504137132,613.9440066256503,1293.279268494451,814.9864349673473,1580.8408739899212,293.6888380219491,301.95246661831754,436.1199603252984,682.8051954271388,380.19618491903367,448.4991078496407,838.5791622202876
2019-02-23 06:00:00,160.58808181928143,182.20976514868437,338.38331900971576,416.455437596962,219.50125432249573,588.1625973958922,524.2407439387619,357.2256880765474,1046.9533895389686,272.20752445362615,280.9222657013214,649.4356986922448,1368.0428773222236,862.1002552443646,1672.228226745931,310.66679316114903,319.4081365952386,461.33176330556415,722.2777067246509,402.17507187682776,474.4265410620439,887.056862267505
